Course Number,Course Name,Faculty
COMP1000,Computer Science 1,"Sunjae, Micah, Weijie, Abdullah"
COMP1010,Fundamentals of IT,"Abdullah, Irfan"
COMP1050,Computer Science 2,"Micah, Abdullah, Kene"
COMP1100,Intro to Networks,"Bingyu, Aspen, Abdullah, Irfan"
COMP1150,Routing and Switching,"Abdullah, Irfan"
COMP1200,Computer Organization,"Sunjae,Abdullah, Irfan"
COMP2000,Data Structures,"Frank, Dave, Abdullah"
COMP2010,Systems Analysis & Design,Irfan
COMP2100,Network Programming,"Aspen,Salem, Kene"
COMP2150,Network Administration,"Bingyu, Irfan"
COMP2160,Wireless Networks,
COMP2350,Algorithms,"Aspen, Frank,Salem, "
COMP2500,Security Principles,"Abdullah, Irfan"
COMP2540,Ethical Hacking,
COMP2650,Database,
COMP3000,Applications of AI,
COMP3010,IT SW devel. & Mgmnt.,"Salem, Weijie, Irfan, Kene"
COMP 3125,Data Science Fundamentals,Weijie
COMP3200,Assembly Language,Abdullah
COMP3220,Data Analytics,"Salem,Weijie, Fariba"
COMP3225,Game Development,Micah
COMP3230,Game Engine Development,Micah
COMP3350,Programming Languages,"Aspen, Frank, Abdullah, Sunjae"
COMP3400,Operating Systems,"Aspen, Abdullah, Sunjae"
COMP3450,Parallel & Distributed Computing,"Micah, Abdullah, Barry"
COMP3480,Cloud Computing,Aspen
COMP3500,Network Security,"Abdullah, Irfan"
COMP3510,IoT Security,Cliff
COMP3550,Computer Security,
COMP3575,Scripting for Cybersecurity & Forensics,
COMP3580,Digital Forensics,Ashar
COMP3590,Applied Cryptography,Bingyu
COMP3600,Software Security,Aspen
COMP3650,Malware Analysis Basics,
COMP3660,Mobile App Development,
COMP4060,Blockchain Technologies,Bingyu
COMP4150,Adv. Systems Administration,
COMP4225,Game Design Projects,Micah
COMP4450,Systems Programming,
COMP4460,Compilers,
COMP4500,Offensive Security,"Ashar, Abdullah"
COMP4550,Incident Response & Business Cont.,
COMP4580,Network Forensics,
COMP4590,Public Key Cryptography,Bingyu
COMP4600,Quantum Computing for Security,
COMP4650,Web Development,"Aspen, Salem, Abdullah, Irfan"
COMP4700,Artificial Intelligence,"Salem, Frank"
COMP4725,Big Data Programming,Salem
COMP4750,Embedded AI,Memo
COMP4760,Image Processing,
COMP4770,AI for Gaming,
COMP4775,Adv. Parallel Computing,Micah
COMP4950,Project Management,Aspen
COMP4960,Software Engineering,Kene
COMP5050,Modern Computing,"Salem, Ashar"
COMP5100,Natural Language Processing,Salem
COMP5500,Senior Project,"Salem, Aspen,Bingyu"
COMP5600,Foundations of Cybersecurity,"Bingyu, Irfan"
COMP5620,Data Privacy & Security,Bingyu
COMP5700,Classical Artificial Intelligence,"Frank, Abdullah"
COMP5705,Data Mining,Salem
COMP5710,Principles of Machine Learning,"Salem, Aspen, Steve, Abdullah"
COMP5750,Embedded AI,Memo
COMP5775,Adv. Parallel Computing,Micah
COMP5900,Programming Fundamentals,Micah
COMP5925,Data Structures & Algorithms,"Salem, Frank"
COMP5950,Network & Systems Admin,
COMP6000,Intrusion Det. & Prev. Systems,
COMP6100,Secure Software Development,Aspen
COMP6420,Reverse Engineering,
COMP6500,Adv. Network Security,
COMP6520,Malware Analysis,
COMP6550,Threat Intelligence,
COMP6580,Digital For. & Incidence Response,
COMP6760,Computer Vision,
COMP6999,Tech. Projects Development,
COMP7025,Sports Analytics,
COMP7100,Adv. Algorithms,"Salem, Frank"
COMP7350,Big Data Systems,Salem
COMP7430,Prompt Engineering,
COMP7431,Adv. Software Engineering,
DATA1000,Data Analytics,Salem
DATA3010,Data Mining,Salem
DATA5000,Applied Large Language Models,Salem
DATA5500,Senior Design,"Weijie, Mark"
DATA6000,Applied Statistics for Research,"Weijie, Ying"
DATA6100,Data Visualization,Fariba
DATA6150,Data Science Foundations,"Salem, Weijie, Fariba"
DATA6200,Data Management,Aspen
DATA6250,ML for Data Science,"Steve, Salem"
DATA6300,Advanced Topics in Large Language Models,Salem
DATA6710,Applied Deep Learning,Salem
